"port_code","harbor_size","overhead_limits","channel_depth","anchorage_depth","cargo_depth","cranes_fixed","cranes_mobile","cranes_floating","railway","lifts100","lifts50","lifts25","lifts0","max_lift","lat","long"
"GRAND","V","U",11,11,2,0,0,0,0,"U","U","U","U",0,37.8333333333333,24.95
"GRARM","V","Y",NA,14,6,0,0,0,0,"U","U","U","U",0,38.1833333333333,20.5166666666667
"GRASS","V","U",8,23,NA,0,0,0,1,"U","U","U","U",0,38.0333333333333,23.6
"GRAST","S","U",NA,17,3,0,0,0,0,"U","U","U","U",0,38.4833333333333,21.1
"GRANI","V","U",NA,13,9,0,0,0,0,"U","U","U","U",0,35.2,25.7166666666667
"GRCLK","S","Y",6,5,5,0,1,1,0,"U","Y","U","Y",12,38.4666666666667,23.6
"GRQKG","V","Y",5,6,6,0,1,0,0,"U","U","U","Y",12,38.45,23.6
"GRFLS","S","U",NA,11,11,0,0,0,1,"U","U","Y","Y",12,38.0333333333333,23.55
"GRGAV","V","U",11,5,2,0,0,0,0,"U","U","U","U",0,37.8833333333333,24.7333333333333
"GRHER","M","U",8,23,8,1,1,0,1,"Y","Y","Y","Y",12,35.35,25.15
"GRITA","V","Y",9,17,6,0,0,0,0,"U","U","U","U",0,38.4333333333333,22.4166666666667
"GRKLX","S","U",9,23,9,0,1,0,1,"Y","U","Y","U",37,37.0166666666667,22.1166666666667
"GRKLL","V","U",13,NA,NA,0,0,0,0,"U","U","U","U",0,34.9333333333333,24.8333333333333
"GRKMI","V","U",11,22,5,0,0,0,0,"U","U","U","U",0,36.95,26.9833333333333
"GRKAK","V","U",9,9,9,0,0,0,1,"U","U","Y","U",37,37.65,21.3166666666667
"GRKVA","S","U",11,23,8,0,1,0,1,"U","U","U","Y",12,40.9333333333333,24.4
"GRCFU","M","N",8,23,3,1,1,0,1,"U","U","U","Y",12,39.6166666666667,19.9333333333333
"GRJKH","V","U",NA,23,8,0,0,0,1,"U","U","U","U",0,38.3666666666667,26.1333333333333
"GRKYM","V","U",NA,23,8,0,0,0,0,"U","U","U","U",0,38.8333333333333,23.4666666666667
"GRPTL","V","U",3,5,5,0,0,0,0,"U","U","U","U",0,41,25.1333333333333
"GRPKK","V","U",23,13,6,0,0,0,0,"U","U","U","U",0,37.1333333333333,26.85
"GRLAV","V","U",5,13,5,0,0,0,0,"U","U","U","U",0,37.7,24.0666666666667
"GRKGS","V","U",5,11,3,0,0,0,1,"N","N","N","N",0,36.9,27.2833333333333
"GRJSY","V","Y",20,20,5,0,0,1,1,"U","U","Y","U",37,37.4333333333333,24.95
"GRMGR","V","U",NA,23,NA,0,0,0,0,"U","U","U","U",0,37.9666666666667,23.4
"GRMEL","V","N",5,23,5,0,0,0,0,"U","U","U","U",0,38.3666666666667,21.4166666666667
"GRJMK","V","U",5,20,6,0,0,0,0,"U","U","U","U",0,37.45,25.3333333333333
"GRMLO","V","U",22,17,3,0,0,0,0,"U","U","U","U",0,36.7166666666667,24.45
"GRMJT","S","U",NA,17,8,0,1,1,0,"U","U","U","Y",12,39.1,26.5666666666667
"GRNPK","V","Y",5,9,5,0,1,0,1,"U","U","U","Y",12,37.5666666666667,22.8
"GRKAR","S","U",NA,23,3,0,0,1,0,"U","U","Y","Y",12,37.8,26.6833333333333
"GRJNX","V","U",11,11,2,0,0,0,0,"U","U","U","U",0,37.1,25.3666666666667
"GRLVR","M","Y",11,23,5,1,1,0,0,"U","U","U","U",0,38.3833333333333,24.05
"GRVAT","V","Y",5,11,2,0,0,0,1,"U","U","U","U",0,38.4333333333333,23.6
"GRGPA","S","U",6,23,11,1,1,0,1,"Y","Y","Y","Y",12,38.25,21.7333333333333
"GRPER","S","N",11,8,11,0,1,0,0,"U","Y","Y","Y",12,37.9666666666667,23.5666666666667
"GRNAV","V","N",5,17,9,0,0,0,0,"U","U","U","U",0,36.9,21.6666666666667
"GRPIR","L","U",23,23,16,1,1,1,1,"U","Y","Y","Y",12,37.9333333333333,23.65
"GRPYT","V","U",5,9,5,0,0,0,0,"U","U","U","U",0,37.6833333333333,26.95
"GRPLM","V","U",23,23,NA,0,0,0,0,"U","U","U","U",0,38.9833333333333,26.3666666666667
"GRPVK","V","N",8,11,5,0,0,0,0,"U","U","Y","U",37,38.95,20.75
"GRRET","V","U",NA,16,8,0,0,0,0,"U","U","U","U",0,35.3666666666667,24.4666666666667
"GRRHO","S","U",9,16,11,0,1,0,1,"U","U","U","Y",12,36.45,28.2333333333333
"GRSMI","V","N",3,23,2,0,0,0,0,"U","U","U","U",0,37.75,26.9666666666667
"GRJSH","V","U",8,11,3,0,0,0,0,"U","U","U","U",0,35.2166666666667,26.1333333333333
"GRSDH","M","N",14,23,6,0,1,0,0,"U","Y","Y","Y",12,35.4833333333333,24.1833333333333
"GRSTI","V","Y",23,23,3,0,0,0,0,"U","U","U","U",0,40.5166666666667,23.8333333333333
"GRSKG","M","U",NA,20,11,1,1,1,1,"Y","Y","Y","Y",12,40.6333333333333,22.9333333333333
"GRTSI","V","N",11,11,2,0,0,0,0,"U","U","U","U",0,39.1666666666667,22.85
"GRVOL","M","U",9,22,11,1,1,1,1,"Y","U","Y","Y",12,39.3666666666667,22.95
"GRYER","V","U",5,9,9,0,0,0,0,"U","U","U","U",0,40.2666666666667,23.4666666666667
"GRGYT","V","Y",3,23,8,0,0,0,0,"U","U","U","U",0,36.75,22.5666666666667
